,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2022-07-03,2022-08-03,no trend,Waiting,0,0,0
1,2022-07-06,2022-08-07,no trend,Waiting,0,0,0
2,2022-07-08,2022-08-10,no trend,Waiting,0,0,0
3,2022-07-14,2022-08-14,no trend,Waiting,0,0,0
4,2022-07-18,2022-08-17,no trend,Waiting,0,0,0
5,2022-07-19,2022-08-21,no trend,Waiting,0,0,0
6,2022-07-27,2022-08-24,no trend,Waiting,0,0,0
7,2022-07-28,2022-08-28,no trend,Waiting,0,0,0
8,2022-07-31,2022-08-31,no trend,Waiting,0,0,0
9,2022-08-03,2022-09-04,no trend,Waiting,0,0,0
10,2022-08-07,2022-09-07,increasing,Waiting,0,0,0
11,2022-08-10,2022-09-11,no trend,Waiting,0,0,0
12,2022-08-14,2022-09-14,no trend,Waiting,0,0,0
13,2022-08-17,2022-09-18,no trend,Waiting,0,0,0
14,2022-08-21,2022-09-21,no trend,Waiting,0,0,0
15,2022-08-24,2022-09-25,no trend,Waiting,0,0,0
16,2022-08-28,2022-09-28,no trend,Waiting,0,0,0
17,2022-08-31,2022-10-02,no trend,Waiting,0,0,0
18,2022-09-04,2022-10-05,no trend,Waiting,0,0,0
19,2022-09-07,2022-10-09,increasing,Waiting,0,0,0
20,2022-09-11,2022-10-12,increasing,Waiting,0,0,0
21,2022-09-14,2022-10-17,increasing,Waiting,0,0,0
22,2022-09-18,2022-10-18,increasing,Waiting,0,0,0
23,2022-09-21,2022-10-19,increasing,Waiting,0,0,0
24,2022-09-25,2022-10-23,increasing,Waiting,0,0,0
25,2022-09-28,2022-10-26,increasing,Waiting,0,0,0
26,2022-10-02,2022-10-30,increasing,Waiting,0,0,0
27,2022-10-05,2022-11-02,no trend,Waiting,0,0,0
28,2022-10-09,2022-11-06,no trend,Waiting,0,0,0
29,2022-10-12,2022-11-09,no trend,Waiting,0,0,0
30,2022-10-17,2022-11-13,no trend,Waiting,0,0,0
31,2022-10-18,2022-11-16,no trend,Waiting,0,0,0
32,2022-10-19,2022-11-20,no trend,Waiting,0,0,0
33,2022-10-23,2022-11-23,no trend,Waiting,0,0,0
34,2022-10-26,2022-11-27,no trend,Waiting,0,0,0
35,2022-10-30,2022-11-30,increasing,Waiting,0,0,0
36,2022-11-02,2022-12-04,increasing,Waiting,0,0,0
37,2022-11-06,2022-12-07,no trend,Waiting,0,0,0
38,2022-11-09,2022-12-11,increasing,Waiting,0,0,0
39,2022-11-13,2022-12-14,increasing,Waiting,0,0,0
40,2022-11-16,2022-12-18,increasing,Waiting,0,0,0
41,2022-11-20,2022-12-21,increasing,Waiting,0,0,0
42,2022-11-23,2022-12-25,no trend,Waiting,0,0,0
43,2022-11-27,2022-12-28,no trend,Waiting,0,0,0
44,2022-11-30,2023-01-01,no trend,Waiting,0,0,0
45,2022-12-04,2023-01-04,decreasing,Waiting,0,0,0
46,2022-12-07,2023-01-08,decreasing,Waiting,0,0,0
47,2022-12-11,2023-01-11,decreasing,Waiting,0,0,0
48,2022-12-14,2023-01-15,decreasing,Waiting,0,0,0
49,2022-12-18,2023-01-18,no trend,Waiting,0,0,0
50,2022-12-21,2023-01-22,no trend,Waiting,0,0,0
51,2022-12-25,2023-01-29,no trend,Waiting,0,0,0
52,2022-12-28,2023-02-01,no trend,Waiting,0,0,0
53,2023-01-01,2023-02-05,increasing,Waiting,0,0,0
54,2023-01-04,2023-02-08,increasing,Waiting,0,0,0
55,2023-01-08,2023-02-12,increasing,Waiting,0,0,0
56,2023-01-11,2023-02-15,increasing,Waiting,0,0,0
57,2023-01-15,2023-02-19,no trend,Waiting,0,0,0
58,2023-01-18,2023-02-22,no trend,Waiting,0,0,0
59,2023-01-22,2023-02-26,no trend,Waiting,0,0,0
60,2023-01-29,2023-03-01,no trend,Waiting,0,0,0
61,2023-02-01,2023-03-05,decreasing,Waiting,0,0,0
62,2023-02-05,2023-03-08,decreasing,Waiting,0,0,0
63,2023-02-08,2023-03-12,decreasing,Waiting,0,0,0
64,2023-02-12,2023-03-15,decreasing,Waiting,0,0,0
65,2023-02-15,2023-03-19,decreasing,Waiting,0,0,0
66,2023-02-19,2023-03-22,no trend,Waiting,0,0,0
67,2023-02-22,2023-03-26,no trend,Waiting,0,0,0
68,2023-02-26,2023-03-29,no trend,Waiting,0,0,0
69,2023-03-01,2023-04-02,no trend,Waiting,0,0,0
70,2023-03-05,2023-04-05,no trend,Waiting,0,0,0
71,2023-03-08,2023-04-12,no trend,Waiting,0,0,0
72,2023-03-12,2023-04-16,no trend,Waiting,0,0,0
73,2023-03-15,2023-04-19,no trend,Waiting,0,0,0
